,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
469,470,NCT04258839,Brexpiprazole in Treatment of Children and Adolescents With Irritability Associated With Autism Spectrum Disorder for Subjects That Have Completed Participation in 331-201-00148,,Enrolling by invitation,No Results Available,Irritability Associated With Autism Spectrum Disorder,Drug: Brexpiprazole,Adverse Events|Aberrant Behavior Checklist (ABC-I)|Clinical Global Impression (CGI-S),"Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S",All,5 Years to 17 Years   (Child),Phase 3,100.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,331-201-00191,2020-01-17,2022-08-20,2022-08-20,2020-02-06,,2020-05-28,"For additional information regarding sites, Princeton, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT04258839
470,471,NCT02255565,Dose Response Effects of Quillivant XR in Children With ADHD and Autism: A Pilot Study,,Completed,Has Results,ADHD|Autism,Drug: Very Low Dose Quillivant XR|Drug: Low Dose Quillivant XR|Drug: Moderate Dose Quillivant XR,ADHD Rating Scale - IV|Clinical Global Impressions-ADHD - Severity|Clinical Global Impression - Improvement (CGI-I),Seattle Children's Hospital|Pfizer,All,5 Years to 16 Years   (Child),Phase 4,36.0,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,WI185890,2014-09-01,2016-09-01,2016-10-01,2014-10-02,2017-06-05,2017-08-01,"Seattle Children's Hospital, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT02255565
471,472,NCT04174365,Brexpiprazole in Treatment of Children and Adolescents With Irritability Associated With Autism Spectrum Disorder,Anchor,Recruiting,No Results Available,Irritability Associated With Autism Spectrum Disorder (ASD),Drug: Brexpiprazole|Drug: Placebo,The mean change from baseline to Week 8 in the Aberrant Behavior Checklist- Irritability subscale score (ABC-I)|The mean change from baseline to Week 8 in the Clinical Global Impression- Severity of Illness Scale (CGI-S) score pertaining to irritability,"Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S",All,5 Years to 17 Years   (Child),Phase 3,130.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",331-201-00148,2019-10-30,2022-02-23,2022-02-23,2019-11-22,,2020-05-28,"For additional information regarding sites, Princeton, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT04174365
472,473,NCT02226458,An Exploratory Open Label Study of EPI-743 (Vincerinone TM) in Children With Autism Spectrum Disorder,Autism,Withdrawn,No Results Available,Autism Spectrum Disorder,Drug: EPI-743,Primary Efficacy|Secondary Endpoint|Safety Endpoint,Edison Pharmaceuticals Inc,All,3 Years to 14 Years   (Child),Phase 2,0.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EPI743-14-025,2014-10-01,2015-11-01,2016-01-01,2014-08-27,,2015-03-10,,,https://ClinicalTrials.gov/show/NCT02226458
474,475,NCT00468130,Efficacy of Aripiprazole Versus Placebo in the Reduction of Aggressive and Aberrant Behavior in Autistic Children,Abilify,Completed,No Results Available,Autism,Drug: Aripiprazole|Drug: Placebos,Clinical Global Impression Improvement (CGI-AD)|Aberrant Behavior Checklist,"University of Medicine and Dentistry of New Jersey|Rutgers, The State University of New Jersey",All,5 Years to 17 Years   (Child),Not Applicable,15.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",0220055441,2006-05-01,2009-11-01,2009-11-01,2007-05-02,,2021-03-02,"Department of Child and Adolescent Psychiatry, University Behavioral Health Care Building, Piscataway, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT00468130
475,476,NCT02069977,Study to Evaluate the Efficacy and Safety of Aripiprazole,,Unknown status,No Results Available,Autism,Drug: Aripiprazole,"irritability subscale of the aberrant behavior checklist|Change from baseline in ABC-subscale of lethargy/social withdrawal, stereotypic behavior, hyperactivity, inappropriate speech|Change of CGI-S, CGI-I from baseline|Change of Behavioral problems from baseline|Change of Adaptive Skills from baseline|Change of Parental stress from baseline",Yoo-Sook Joung|Korea Otsuka International Asia Arab|Samsung Medical Center,All,6 Years to 17 Years   (Child),Phase 4,79.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,031OTC1301,2014-02-01,2016-02-01,2016-02-01,2014-02-24,,2014-03-11,"Inje University Ilsan Paik Hospital, Ilsan, Gyeonggi-do, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Medical City, Pasig, Philippines|Philippine Children's Medical Center, Quezon City, Philippines|Siriraj Hospital Mahidol University, Bangkok, Thailand",,https://ClinicalTrials.gov/show/NCT02069977
477,478,NCT01966679,Targeting GABA-A for the Treatment of Social Disability in Young Adults With Autism Spectrum Disorders: A Phase II Proof of Mechanism Trial,FAST-AS,Completed,No Results Available,Autism Spectrum Disorder,Drug: AZD7325|Drug: Placebo,EEG,"University of California, Los Angeles",All,18 Years to 35 Years   (Adult),Phase 2,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HHS-NIH-DA-12-241,2013-10-01,2015-07-01,2015-07-01,2013-10-21,,2015-10-22,"UCLA, Los Angeles, California, United States|Emory University, Atlanta, Georgia, United States|Seattle Children's Research Institute, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT01966679
478,479,NCT01914939,"A Randomized, Controlled Trial of Intranasal Oxytocin as an Adjunct to Behavioral Therapy for Autism Spectrum Disorder",,Completed,No Results Available,Autism Spectrum Disorders,Drug: Oxytocin|Behavioral: Social Skills focused CBT|Behavioral: Stress management/relaxation training|Drug: placebo drug,Changes in the Autism Diagnostic Observation Schedule (ADOS)|Clinical Global Impression Scale (CGI)|Social Responsiveness Scale (SRS)|Reading the Mind in the Eyes Test (RMET)|Social Ball Tossing Task,Massachusetts General Hospital|Massachusetts Institute of Technology,Male,18 Years to 40 Years   (Adult),Phase 2,92.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",W81XWH-12-1-0543|Clinical Trial Award,2014-04-01,2017-11-01,2017-11-01,2013-08-02,,2020-01-27,"Massachusetts General Hospital, Boston, Massachusetts, United States|Massachusetts Institute of Technology Martinos Imaging Center, Cambridge, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT01914939
480,481,NCT04299464,"A 12-Week Placebo-Controlled Study to Investigate the Efficacy, Safety, and Tolerability of RO7017773 in Participants Aged 15-45 Years With Autism Spectrum Disorder (ASD)",,Recruiting,No Results Available,Autism Spectrum Disorder (ASD),Drug: Placebo|Drug: RO7017773,"Change from Baseline to Week 12 in the Adaptive Behavior Composite score of the Vineland Adaptive Behavior Scales, Third Edition (Vineland-3)|Percentage of Participants with Adverse Events (AEs)|Percentage of Participants with Serious Adverse Events (SAEs)|Percentage of Participants Discontinuing Treatment due to AEs|Change from Baseline Over Time in Suicide Risk Using the Columbia-Suicide-Severity Rating Scale (C-SSRS)|Change from Baseline to Week 12 in Behavior/Symptoms as Measured by all Domains of the Repetitive Behavior Scale-Revised (RBS-R)|Change from Baseline to Week 12 on the Vineland-3 Socialization Domain|Change from baseline to Week 12 on the Vineland-3 Communication domains",Hoffmann-La Roche,All,"15 Years to 45 Years   (Child, Adult)",Phase 2,105.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",BP41316|2019-003524-20,2021-03-31,2023-09-30,2023-09-30,2020-03-06,,2021-10-07,"Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|University of California at San Francisco, San Francisco, California, United States|MCB Clinical Research Centers, Colorado Springs, Colorado, United States|Yale University / Yale-New Haven Hospital, New Haven, Connecticut, United States|Research Centers of America, LLC, Oakland Park, Florida, United States|APG- Advanced Psychiatric Group, Orlando, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|Capstone Clinical Research, Libertyville, Illinois, United States|Lake Charles Clinical Trials, LLC, Lake Charles, Louisiana, United States|Massachusetts General Hospital; Lurie Center for Autism, Lexington, Massachusetts, United States|University of Minnesota, Minneapolis, Minnesota, United States|Montefiore Medical Center, Bronx, New York, United States|Nathan Kline Institute, Orangeburg, New York, United States|University Hospitals, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|UPMC Western Psychiatric Institute and Clinic, Pittsburgh, Pennsylvania, United States|Vanderbilt Medical Center, Nashville, Tennessee, United States|BioBehavioral Research of Austin, PC, Austin, Texas, United States|Relaro Medical Trials, Dallas, Texas, United States|Red Oak Psychiatry Associates, PA, Houston, Texas, United States|Road Runner Research, San Antonio, Texas, United States|Core Clinical Research, Kirkland, Washington, United States|Okanagan Clinical Trials, Kelowna, British Columbia, Canada|Janeway Childrens Health; and Rehabilitation Centre, St. John's, Newfoundland and Labrador, Canada|Holland Bloorview Kids Rehabilitation Hospital; Autism Research Centre, East York, Ontario, Canada|London Health Sciences Centre; Victoria Hospital, London, Ontario, Canada|AOU Policlinico Tor Vergata, Università Roma Tor Vergata, Roma, Lazio, Italy|Ist. G. Gaslini; UOC Neuropsichiatria Infantile, Genova, Liguria, Italy|Istituto Scientifico Medea; U.O Psicopatologia età evolutiva, Bosisio Parini (LC), Lombardia, Italy|ASST di Pavia; Dip. di Scienze del Sistema Nervoso e del Comportamento, Pavia, Lombardia, Italy|A.O.U. Policlinico - V. Emanuele - P.O. Gaspare Rodolico; Dip. Terapia integrata disturbi resistenti, Catania, Sicilia, Italy|IRCCS Fondazione Stella Maris; U.O. Complessa NPI 3 - Psichiatria dello sviluppo, Calambrone (PI), Toscana, Italy|Hospital Santa Caterina; Servicio de Psiquiatría, Salt, Girona, Spain|IGAIN (Instituto Global de Atención Integral al Neurodesarrollo), Barcelona, Spain|Hospital Universitari Vall d'Hebron; Sevicio de Psiquiatría, Barcelona, Spain|Hospital Universitario Infanta Leonor; Servicio de Psiquiatría, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04299464
482,483,NCT03183674,Oxytocin in Spectrum Autism Disorders,OxytocinASD,Completed,No Results Available,Autistic Disorder,Drug: Oxytocin|Other: placebo,Eye tracking|Nepsy,University of Sao Paulo General Hospital,All,3 Years to 16 Years   (Child),Phase 1,80.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other",10922213.7.0000.0068-2,2016-07-15,2017-07-20,2018-05-15,2017-06-12,,2019-10-28,"Instituto de Psiquiatria, São Paulo, Brazil",,https://ClinicalTrials.gov/show/NCT03183674
487,488,NCT01793441,A Study of RG7314 to Investigate Efficacy and Safety in Individuals With Autism Spectrum Disorders (ASD),,Completed,No Results Available,Autism Spectrum Disorder,Drug: Placebo|Drug: RG7314,"Change From Baseline in Social Communication Deficits as Measured by Social Responsiveness Scale 2 (SRS-2)|Percentage of Participants with Suicidality, as Measured by the Columbia-Suicide Severity Rating Scale (C-SSRS)|Percentage of Participants With Adverse Events|Change From Baseline in Behavior/Symptoms as Measured by Aberrant Behavior Checklist (ABC)|Change From Baseline in Behavior/Symptoms as Measured by Repetitive Behavior Scale-Revised (RBS-R)|Change From Baseline in Behavior/Symptoms as Measured by Anxiety, Depression and Mood Scale (ADAMS)|Measure: Change From Baseline in Behavior/Symptoms as Measured by State-Trait Anxiety Inventory (STAI)|Change From Baseline in Clinical Global Impressions as Measured by Clinical Global Impressions Improvement (CGI-I) Scale|Change From Baseline in Adaptive Functioning and Skills as Measured by Vineland-II Adaptive Behavior Scale (VABS)|Plasma Concentration of RG7314|Plasma Concentration of RG7314 Metabolite M3|Area Under the Plasma Concentration Versus Time Curve From Time Zero to Last Measurable Concentration (AUClast) of RG7314|AUClast of RG7314 Metabolite M3|Maximum Observed Plasma Concentration (Cmax) of RG7314|Cmax of RG7314 Metabolite M3|Percentage of Participants With Clinical Response, Defined as At Least 25% Improvement in the SRS-2 Score With a CGI-I Score of 1 or 2",Hoffmann-La Roche,Male,18 Years to 45 Years   (Adult),Phase 2,223.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",BP28420|2012-005597-55,2013-09-01,2016-09-01,2016-09-01,2013-02-15,,2017-02-03,"Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Phoenix, Arizona, United States|University of California Davis, Sacramento, California, United States|Sacramento, California, United States|PCSD Feighner Research, San Diego, California, United States|San Diego, California, United States|University of California at San Francisco, San Francisco, California, United States|San Francisco, California, United States|Santa Ana, California, United States|Stanford, California, United States|DBA IMMUNOe Int'l Res Center, Centennial, Colorado, United States|Centennial, Colorado, United States|Yale University; Yale Child Study Center, New Haven, Connecticut, United States|New Haven, Connecticut, United States|Neurology offices of south florida, Delray Beach, Florida, United States|Delray Beach, Florida, United States|Research Centers of America, LLC, Oakland Park, Florida, United States|Oakland Park, Florida, United States|Compass Research, Orlando, Florida, United States|Orlando, Florida, United States|Emory University School of Medicine; Department of Human Genetics & Pediatrics, Decatur, Georgia, United States|Decatur, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|Chicago, Illinois, United States|The Kennedy Krieger Institute, Baltimore, Maryland, United States|Baltimore, Maryland, United States|Neuroscientific Insights, Rockville, Maryland, United States|Rockville, Maryland, United States|Massachusetts General Hospital, Lexington, Massachusetts, United States|Lexington, Massachusetts, United States|University of Minnesota; Clin. Neuro Research Unit, Minneapolis, Minnesota, United States|Minneapolis, Minnesota, United States|Montefiore Medical Center; Departments of Psychiatry & Biobehavioral Science, Bronx, New York, United States|Bronx, New York, United States|Mount Sinai School of Medicine; Seaver Autism Center, New York, New York, United States|New York, New York, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|Orangeburg, New York, United States|DUKE SCHOOL OF MEDICINE;Duke Center for Autism and Brain Development, Durham, North Carolina, United States|Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Cincinnati, Ohio, United States|University Hospitals, Cleveland, Ohio, United States|Cleveland, Ohio, United States|UPMC Western Psychiatric Institute and Clinic, Pittsburgh, Pennsylvania, United States|Pittsburgh, Pennsylvania, United States|Vanderbilt Medical Center, Nashville, Tennessee, United States|Nashville, Tennessee, United States|Road Runner Research, San Antonio, Texas, United States|San Antonio, Texas, United States|Northwest Clinical Research Center, Bellevue, Washington, United States|Bellevue, Washington, United States|Pacific Institute of Medical Sciences, Bothell, Washington, United States|Bothell, Washington, United States|Seattle Children's Research Institute, Seattle, Washington, United States|Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT01793441
