"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
329,"NCT04987541","The Therapeutic Effect of TBS Stimulation on Emotion Regulation in Autism Spectrum Disorder",,"Not yet recruiting","No Results Available","Autism Spectrum Disorder","Device: intermittent theta burst stimulation","Changes of total scores of Emotional Dysregulation Inventory|Changes of total scores of Aberrant Behavior Checklist|Changes of total scores of Child Behavior Checklist|Changes of total scores of Social Responsiveness Scale|Changes of total scores of Repetitive Behavior Scale-Revised|Changes of total scores of Adaptive Behavior Assessment System|Changes in accuracy of Frith-Happe animation|Changes in accuracy of Eyes task|Changes in accuracy of Wisconsin Card Sorting Test|Changes of total scores of Behavior Rating Inventory of Executive Function|Raven's Progressive Matrices|Autism Diagnostic Observation Schedule - Generic|MRI T1|functional MRI (resting-state/biological motion task) - BOLD signal|Diffusion Tensor Imaging (DTI) - FA|Electroencephalography","Chang Gung Memorial Hospital","All","8 Years to 30 Years   (Child, Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","202002498A0","August 2022","September 2025","December 2025","August 3, 2021",,"August 3, 2021","Chang Gung Memorial Hospital, Taoyuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT04987541"
330,"NCT04993144","The Therapeutic Effects of Continuous Theta Burst Stimulation in Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Device: continuous theta burst stimulation","Changes of total scores of Social Responsiveness Scale|Changes of total scores of Repetitive Behavior Scale-Revised|Changes of total scores of Emotional Dysregulation Inventory|Changes of total scores of Adaptive Behavior Assessment System|Changes of total scores of Vineland Adaptive Behavior Scales|Changes in accuracy of Frith-Happe animation|Changes in accuracy of Eyes task|Changes in accuracy of Wisconsin Card Sorting Test|Changes of total scores of Behavior Rating Inventory of Executive Function|Raven's Progressive Matrices|Autism Diagnostic Observation Schedule - Generic|MRI T1|functional MRI (resting-state/biological motion task) - BOLD signal|Diffusion Tensor Imaging (DTI) - FA","Chang Gung Memorial Hospital","All","8 Years to 30 Years   (Child, Adult)","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","201802246A0","December 10, 2019","January 2022","March 2022","August 6, 2021",,"August 6, 2021","Chang Gung Memorial Hospital, Taoyuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT04993144"
331,"NCT01647295","Social Interactions: Ocular Explorations and Pupillometry in Autism","ISEOP","Completed","No Results Available","Autism Spectrum Disorders",,"Total time spent on pictures|Interest zones","Institut National de la Santé Et de la Recherche Médicale, France","All","3 Years to 12 Years   (Child)",,"150","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","C11-60|2012-A00520-43","February 25, 2013","June 2019","June 18, 2019","July 23, 2012",,"August 26, 2021","CHRU Bretonneau, Tours, France",,"https://ClinicalTrials.gov/show/NCT01647295"
332,"NCT04950517","Physical Activity and Cardiorespiratory Fitness in Adolescents With Autism Spectrum Disorder","PAASD","Not yet recruiting","No Results Available","Autism Spectrum Disorder",,"Concurrent validity of the Physical Activity Vital Sign (questionnaire) and an Online Physical Activity Logbook (m-Path app) by using accelerometry (Actigraph model wGT3X-BT) as the criterion measure in adolescents with Autism Spectrum Disorder|Concurrent validity of a submaximal cardiorespiratory fitness test in adolescents with Autism Spectrum Disorder|The test-retest reliability of a submaximal cardiorespiratory fitness test in adolescents with Autism Spectrum Disorder|Determination of (interactions between) intrapersonal correlates of physical activity in adolescents with Autism Spectrum Disorder by using a comprehensive assessment protocol with standardized assessment tools|Exploration of the barriers and facilitators adolescents with Autism Spectrum Disorder experience with regard to physical activity participation","Universitaire Ziekenhuizen Leuven","All","12 Years to 18 Years   (Child, Adult)",,"154","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","S65474","November 2021","October 2024","October 2024","July 6, 2021",,"July 6, 2021","Anke Arkesteyn, Leuven, Belgium",,"https://ClinicalTrials.gov/show/NCT04950517"
333,"NCT03676673","Deciphering the Autism Spectrum Disorder Beyond Genomics",,"Recruiting","No Results Available","Autism Spectrum Disorder","Other: Psychiatric diagnosis","ASD-associated transcriptome profiles","National Taiwan University Hospital","All","3 Years to 20 Years   (Child, Adult)",,"200","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","201801044RINC","August 1, 2018","December 2021","December 2021","September 19, 2018",,"September 2, 2021","National Taiwan Univeristy Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT03676673"
334,"NCT04273087","Characterization of a Clinical Subpopulation With Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Other: Observation","Prevalence of non-behavioral phenotypical traits in sub-populations with Autism Spectrum Disorder (ASD)","Stalicla SA","All","10 Years to 40 Years   (Child, Adult)",,"250","Industry","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","STP1-C003","June 4, 2020","December 2021","December 2021","February 17, 2020",,"November 3, 2020","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04273087"
335,"NCT02611921","Study of Intranasal Ketamine for Social Impairment in Autism Spectrum Disorder",,"Completed","No Results Available","Autism Spectrum Disorder","Drug: Ketamine|Drug: Placebo","Change in Social Withdrawal subscale score of the Aberrant Behavior Checklist (ABC)|Change in the Clinician-rated CGI Improvement scale (CGI-I)","Children's Hospital Medical Center, Cincinnati|Roivant Sciences, Inc.|Cures Within Reach","All","12 Years to 30 Years   (Child, Adult)","Phase 1","21","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2015-2494","December 22, 2015","May 7, 2018","May 7, 2018","November 23, 2015",,"October 12, 2018","Cincinnati Childrens Hospital Medical Center, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02611921"
336,"NCT04737707","Dialectical Behavior Therapy for Adults With Autism Spectrum Disorders","Autisemo","Recruiting","No Results Available","Autism Spectrum Disorders","Other: Dialectical Behavior Therapy (DBT)","Difficulties in Emotion Regulation Scale (DERS)","University Hospital, Strasbourg, France","All","18 Years and older   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","8108","April 16, 2021","September 1, 2024","September 1, 2024","February 4, 2021",,"September 20, 2021","Service de psychiatrie, Strasbourg, France",,"https://ClinicalTrials.gov/show/NCT04737707"
337,"NCT04980963","Cognitive Support Technology for Postsecondary Students With Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Cognitive Support Technology (CST)","Grade Point Average (GPA)|Current academic standing|Post-Secondary Enrollment Status|Satisfaction with current living status and transportation access|Satisfaction with Social Support|Current Employment Status|% of Participants Receiving Disability Benefits|Depression Symptoms|Overall Health Status|Perceived Stress|Acceptance of Disability|Quality of Life (QoL)","Kent State University|Virginia Commonwealth University","All","Child, Adult, Older Adult","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care","20-069","March 1, 2020","June 30, 2024","June 30, 2024","July 28, 2021",,"July 28, 2021","Kent State University, Kent, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04980963"
338,"NCT02573428","Evaluating the Validity of an Eye Gaze Paradigm in Predicting Autism Spectrum Disorder","EYE","Completed","No Results Available","Autism Spectrum Disorders",,"Percentage of correctly discriminated ASD and non-ASD cases using the autism risk index.|Area under the ROC curve of the prognostic algorithm in discriminating non-verbal cognitive disability.|Number of regions of interest with significant dwell time differences between ASD-affected and non-ASD participants.|Natural Interaction, Monologue with Directed Attention Stimulus - Dwell time in Upper Face Region of Interest (ROI) from 0.5-24 seconds|Natural Interaction, Monologue with Directed Attention Stimulus - Dwell time in Desk picture and Cup/Phone Regions of Interest (ROI) from 0.5-24 seconds|Natural Interaction, Joke 1 Stimulus - Dwell time in the Upper and Lower Face ROIs from 0.5-5.5 seconds|Natural Interaction, Joke 1 Stimulus - Dwell time in Body and Toys ROIs from 0.5-6.88 seconds|Natural Interaction, Joke 2 Stimulus - Dwell time in Upper Face ROI and Lower Face ROI from 0.5-8.0 seconds|Natural Interaction, Joke 2 Stimulus - Dwell time in Upper Face ROI from 4.3-5.0 seconds|Natural Interaction, Joke 2 Stimulus - Dwell time in Distractor 1, Distractor 2, Distractor 3 and Body ROIs from 0.2-10.34 seconds|Joint Attention, Gaze Middle Stimulus - Dwell time in Face ROI from 0.3-1.1 seconds|Joint Attention, Gaze Middle Stimulus - Dwell time in Target Toy, Distractor Right and Distractor Left ROIs from 1.0-2.3 seconds|Joint Attention, Gaze Right Stimulus - Dwell time in Face A and Face B ROIs from 3.3-3.7 seconds|Joint Attention, Gaze Right Stimulus - Dwell time in Target Toy and Distractor Toy ROIs from 1.0-2.3 seconds|Joint Attention, Gaze Right 2 Stimulus - Dwell time in Face ROI from 2.0-3.0|Joint Attention, Gaze Right 2 Stimulus - Dwell time in Left Distractor, Middle Distractor and Right Target from 0.9-1.6 seconds|Joint Attention, Gesture Middle 1 Stimulus - Left Distractor, Right Distractor and Middle Target from 1.5-3.5 seconds|Joint Attention, Gesture Right 1 Stimulus - Target Toy, Distractor Middle and Distractor Left ROIs from 0.8-3.5 seconds|Joint Attention, Gesture Right 2 Stimulus - Target Toy and Distractor Toy ROIs from 1.3-2.4 seconds|Joint Attention, Gesture Left 1 Stimulus - Target Toy, Distractor Middle and Distractor Right ROIs from 1.4-3.4 seconds|Joint Attention, Gesture Left 2 Stimulus - Target Toy and Distractor Right ROIs from 1.2-2.7 seconds|Joint Attention - Gesture Left 3 Stimulus - Left Target, Middle Distractor and Right Distractor ROIs from 0.7-2.3 seconds","The Cleveland Clinic","All","18 Months to 18 Years   (Child, Adult)",,"389","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","14-620","June 2015","December 2016","December 2016","October 9, 2015",,"March 14, 2017","Cleveland Clinic Center for Autism, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02573428"
339,"NCT02791789","SEMATIC Pilot Study in Children With Autism Spectrum Disorder Using an Innovative Edutainment Software","sematic","Completed","No Results Available","Autism Spectrum Disorder","Other: Autism Spectrum Disorder","measure learning words and phrases while using SEMATIC in children with ASD and non-readers without functional language|Evaluate the impact of learning words and phrases on the acquisition of the lexicon (speech and language test ELO)|Evaluate the duration of the game necessary to learning|Assess the number of sessions necessary to learning|Assess the technical performance and usability of the game platform|Evaluate the satisfaction of organizing the SEMATIC survey of parents and educators","Fondation Lenval","All","6 Years to 12 Years   (Child)","Not Applicable","17","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)","14-HPNCL-10","October 2013","February 2015","February 2015","June 7, 2016",,"June 7, 2016","Fondation LENVAL - Hôpitaux Pédiatriques de Nice CHU-LENVAL, Nice, France",,"https://ClinicalTrials.gov/show/NCT02791789"
340,"NCT01836965","Replication of the The Multi-Media Social Skills Project for Adolescents With Autism Spectrum Disorders",,"Completed","No Results Available","Autism Spectrum Disorders","Behavioral: Social Skills Intervention","Change from Baseline Social Responsiveness Scale Score after Intervention|Video recording of Social Interaction|Change from Baseline Strengths and Difficulties Questionnaire (SDQ) after Intervention|Change from Baseline Loneliness Scale after Intervention|Change from Baseline Multidimensional Anxiety Scale for Children after Intervention|Change from Baseline Strengths and Difficulties Questionnaire (parent form)after Intervention|Change from Baseline Strengths and Difficulties Questionnaire at 3 month Follow Up|Change from Baseline Loneliness Scale at 3-month Follow Up|Change from Baseline Multidimensional Anxiety Scale for Children at 3 month Follow Up|Change from Baseline Strengths and Difficulties Questionnaire (parent form)at 3 Month Follow Up","Milton S. Hershey Medical Center","All","13 Years to 17 Years   (Child)","Not Applicable","155","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","42565EP","March 2013","April 9, 2018","April 9, 2018","April 22, 2013",,"March 13, 2019","Penn State Hershey Psychiatry Clinic, Hershey, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01836965"
